ip,app,device,os,channel,click_time,is_attributed
114379,25,1,8,259,2017-11-08 13:03:53,0
112880,18,1,19,107,2017-11-09 03:55:33,0
231915,13,1,17,400,2017-11-08 13:06:39,0
8292,9,1,22,334,2017-11-07 08:26:05,0
313388,3,1,13,280,2017-11-09 00:18:12,0
57191,23,1,19,153,2017-11-09 10:28:43,0
5314,12,1,17,497,2017-11-07 11:10:39,0
137652,3,1,19,115,2017-11-07 13:11:43,0
32937,18,1,6,107,2017-11-06 16:24:27,0
83306,14,1,19,467,2017-11-09 08:43:26,0
73839,3,1,22,480,2017-11-09 06:12:29,0
37628,15,1,13,245,2017-11-08 15:08:10,0
34947,12,1,19,265,2017-11-07 12:10:09,0
41369,12,1,25,178,2017-11-07 11:12:14,0
106385,3,1,13,280,2017-11-09 03:01:25,0
109634,28,1,6,135,2017-11-09 14:44:36,0
82050,12,1,13,328,2017-11-07 02:45:33,0
7645,3,1,19,280,2017-11-06 16:17:12,0
107594,64,1,18,459,2017-11-07 15:45:42,0
122777,3,1,58,424,2017-11-09 07:40:53,0
205644,18,1,13,107,2017-11-07 02:40:35,0
138245,25,1,25,259,2017-11-07 11:46:43,0
118229,12,2,2,265,2017-11-09 14:02:06,0
114904,2,1,19,205,2017-11-07 08:57:54,0
181182,18,1,13,107,2017-11-07 15:53:01,0
7815,3,1,19,442,2017-11-08 10:22:55,0
55910,2,1,17,364,2017-11-06 23:25:59,0
173196,13,1,23,477,2017-11-07 03:08:10,0
332197,12,2,19,135,2017-11-09 14:57:36,0
66985,3,1,20,137,2017-11-06 17:48:39,0
164865,24,1,10,105,2017-11-07 12:32:38,0
54481,9,1,30,232,2017-11-06 22:49:38,0
194117,15,1,18,245,2017-11-07 21:24:05,0
58556,2,2,22,237,2017-11-07 02:25:55,0
235903,26,1,10,121,2017-11-07 17:25:00,0
109676,9,1,15,127,2017-11-09 13:42:10,0
110095,12,1,19,245,2017-11-07 16:21:34,0
91336,3,1,13,280,2017-11-09 04:55:48,0
76853,2,1,18,435,2017-11-08 02:16:25,0
5509,9,1,19,442,2017-11-09 08:58:05,0
33777,27,1,15,122,2017-11-08 11:54:07,0
26826,12,1,13,259,2017-11-09 11:47:27,0
80560,13,1,22,477,2017-11-09 05:43:49,0
96266,8,1,13,145,2017-11-09 10:48:45,0
78910,12,1,13,245,2017-11-06 19:26:47,0
10265,15,1,9,245,2017-11-07 08:58:45,0
23733,2,1,32,219,2017-11-06 17:52:32,0
141490,5,1,13,377,2017-11-07 14:39:19,0
88541,21,1,25,128,2017-11-06 18:51:40,0
92289,9,1,16,258,2017-11-09 12:49:58,0
80571,14,1,19,401,2017-11-07 03:54:44,0
15218,12,1,6,265,2017-11-08 08:34:05,0
67577,26,1,11,266,2017-11-08 09:52:54,0
22349,12,1,32,219,2017-11-07 03:42:58,0
67409,15,1,6,430,2017-11-09 03:14:27,0
39453,3,1,19,280,2017-11-07 08:02:10,0
88255,2,1,13,122,2017-11-07 14:01:59,0
28272,18,1,19,439,2017-11-09 01:41:16,0
71579,3,1,9,130,2017-11-06 17:24:18,0
46939,15,1,13,379,2017-11-09 00:58:52,0
46740,2,1,9,236,2017-11-08 13:28:37,0
146536,23,1,37,153,2017-11-08 13:13:03,0
27303,15,1,18,245,2017-11-08 23:36:18,0
101445,9,1,4,127,2017-11-09 15:41:07,0
30636,12,1,13,265,2017-11-06 22:21:30,0
18122,2,1,13,122,2017-11-08 04:48:08,0
11448,15,1,25,315,2017-11-07 13:46:35,0
109776,15,1,19,140,2017-11-08 11:47:20,0
49383,12,1,22,265,2017-11-08 11:04:15,0
76503,150,1,10,110,2017-11-07 04:27:36,0
170136,2,1,25,237,2017-11-09 04:53:45,0
32432,5,1,41,377,2017-11-07 16:08:45,0
5178,14,1,18,401,2017-11-08 23:43:29,0
16993,15,1,11,245,2017-11-08 06:01:53,0
146904,18,1,11,107,2017-11-08 08:44:36,0
109735,9,1,6,134,2017-11-09 03:19:10,0
212602,95,3032,607,347,2017-11-07 13:49:47,0
77048,15,1,19,245,2017-11-07 22:20:57,0
77610,17,1,37,134,2017-11-09 02:08:09,0
39884,18,1,3,107,2017-11-09 02:30:01,0
188452,12,1,13,245,2017-11-08 15:42:34,0
103598,3,1,13,280,2017-11-08 07:08:04,0
126105,3,1,8,135,2017-11-08 12:17:10,0
63408,2,1,3,435,2017-11-08 00:27:38,0
100275,1,1,3,115,2017-11-08 16:33:59,0
262468,3,1,19,280,2017-11-08 07:39:20,0
60191,2,1,19,205,2017-11-09 04:37:12,0
201182,3,1,6,489,2017-11-08 03:08:30,0
111153,15,1,20,3,2017-11-09 14:36:58,0
32453,3,2,9,280,2017-11-08 02:19:07,0
27714,3,1,15,173,2017-11-07 14:49:29,0
15843,14,1,19,480,2017-11-08 09:31:17,0
149535,8,1,25,259,2017-11-07 01:04:29,0
45785,105,1,10,282,2017-11-07 02:04:06,0
41181,2,1,19,469,2017-11-07 22:04:10,0
59426,23,1,19,153,2017-11-08 10:35:34,0
56313,2,1,25,469,2017-11-07 09:33:47,0
74034,22,1,12,116,2017-11-08 13:32:55,0
67628,2,1,13,452,2017-11-07 18:03:38,0
18676,11,1,16,487,2017-11-07 08:40:07,0
184702,2,1,19,435,2017-11-07 04:13:27,0
973,12,1,13,178,2017-11-09 02:35:38,0
276450,3,1,41,211,2017-11-08 13:21:23,0
102581,2,1,13,212,2017-11-08 08:33:10,0
73997,2,1,16,219,2017-11-08 02:39:13,0
202464,14,1,9,439,2017-11-06 17:47:11,0
91128,9,1,11,145,2017-11-08 11:09:41,0
69185,14,1,19,349,2017-11-07 23:34:20,0
117651,2,1,13,477,2017-11-07 07:31:17,0
119818,3,1,19,280,2017-11-09 00:07:23,0
38300,11,1,8,481,2017-11-08 10:44:12,0
105475,3,1,13,409,2017-11-09 05:00:20,0
178873,12,1,9,424,2017-11-06 16:57:06,0
53341,28,1,22,135,2017-11-08 03:01:00,0
59847,3,1,8,280,2017-11-08 14:28:36,0
61120,21,1,17,128,2017-11-08 23:41:06,0
139490,21,1,19,128,2017-11-07 03:38:12,0
37437,2,1,19,236,2017-11-08 12:42:09,0
89141,1,1,25,134,2017-11-09 12:28:35,0
125288,3,1,19,280,2017-11-08 15:23:26,0
137030,2,1,13,122,2017-11-07 05:49:12,0
67868,12,1,13,245,2017-11-08 20:32:48,0
60017,14,1,18,442,2017-11-07 04:11:20,0
114276,9,1,2,442,2017-11-08 14:40:53,0
186799,64,2,13,459,2017-11-07 17:46:01,0
172498,18,1,19,439,2017-11-07 05:10:29,0
8292,15,1,27,412,2017-11-09 04:04:45,0
24876,7,1,15,101,2017-11-09 14:36:00,0
66437,24,1,8,105,2017-11-07 09:29:47,0
58978,23,1,19,30,2017-11-08 02:56:52,0
90814,13,1,19,477,2017-11-07 12:51:22,0
49479,1,1,37,153,2017-11-08 09:15:57,0
42596,2,1,18,477,2017-11-09 05:44:58,0
103090,15,1,22,3,2017-11-08 15:46:12,0
44692,12,1,8,409,2017-11-07 06:39:54,0
52024,2,1,19,212,2017-11-09 01:48:26,0
37919,13,1,13,477,2017-11-09 00:31:27,0
85085,15,1,19,278,2017-11-09 11:01:01,0
47422,13,1,13,477,2017-11-07 03:57:15,0
36150,12,1,19,178,2017-11-08 10:47:19,0
78021,14,1,19,439,2017-11-08 06:29:18,0
2538,20,1,22,259,2017-11-08 15:25:05,0
101487,20,1,19,478,2017-11-09 02:24:06,0
160734,12,1,41,245,2017-11-09 06:31:38,0
75794,10,1,13,317,2017-11-09 07:46:35,0
89661,2,1,10,122,2017-11-06 16:49:33,0
89722,3,1,19,173,2017-11-07 13:14:35,0
38546,28,1,13,135,2017-11-08 06:44:13,0
239540,12,1,13,245,2017-11-08 05:57:29,0
27526,2,1,105,452,2017-11-09 10:45:24,0
69197,22,1,4,496,2017-11-07 06:02:44,0
355971,12,2,13,178,2017-11-09 03:48:35,0
69960,3,1,19,280,2017-11-09 06:03:04,0
37855,2,1,19,435,2017-11-08 07:56:58,0
175592,9,1,25,134,2017-11-08 10:09:54,0
273298,3,1,9,280,2017-11-08 09:03:46,0
38406,8,1,13,145,2017-11-07 01:25:45,0
84680,3,1,17,280,2017-11-09 00:39:05,0
36862,6,1,19,125,2017-11-08 06:47:53,0
33402,1,1,9,135,2017-11-09 04:02:23,0
77041,2,1,18,477,2017-11-07 16:29:34,0
153621,3,1,17,115,2017-11-08 01:10:47,0
306237,11,1,17,469,2017-11-09 00:01:09,0
73487,9,2,9,134,2017-11-06 23:43:59,0
45745,11,1,47,122,2017-11-08 12:08:20,0
47227,21,1,13,128,2017-11-07 10:38:25,0
114314,9,1,20,232,2017-11-09 04:29:47,0
87620,18,1,19,134,2017-11-08 11:15:29,0
26807,13,1,6,477,2017-11-08 11:02:22,0
62671,8,1,19,145,2017-11-09 03:57:42,0
40125,21,1,19,128,2017-11-07 14:22:46,0
98881,3,1,13,280,2017-11-08 13:57:27,0
70247,21,1,14,128,2017-11-07 01:58:35,0
108260,2,1,15,219,2017-11-07 10:42:33,0
201269,2,1,12,435,2017-11-07 04:05:32,0
200154,12,1,17,178,2017-11-07 13:26:59,0
26995,9,1,10,334,2017-11-09 12:38:54,0
53454,2,1,13,477,2017-11-07 16:33:07,0
171503,9,1,26,445,2017-11-09 06:18:37,0
110009,7,1,13,101,2017-11-07 09:55:18,0
271126,3,1,6,371,2017-11-08 01:09:16,0
130629,12,1,17,178,2017-11-08 02:02:35,0
95388,3,1,3,280,2017-11-09 05:27:33,0
75436,25,1,13,259,2017-11-08 01:46:42,0
119289,12,2,27,145,2017-11-08 11:20:25,0
98622,15,1,18,265,2017-11-07 07:56:22,0
58934,14,1,20,489,2017-11-09 01:12:35,0
189183,1,1,19,153,2017-11-08 21:32:20,0
79180,18,1,4,107,2017-11-07 02:52:43,0
57732,10,2,100,113,2017-11-07 06:27:24,0
270168,1,1,46,153,2017-11-08 09:25:41,0
80223,28,1,19,135,2017-11-09 04:27:37,0
66520,19,3371,24,213,2017-11-08 21:37:57,0
62009,12,1,17,245,2017-11-07 06:31:59,0
25373,26,1,13,266,2017-11-07 14:41:19,0
159857,28,1,8,135,2017-11-09 06:20:52,0
22006,3,1,22,19,2017-11-09 07:02:19,0
124096,3,1,22,280,2017-11-09 00:04:18,0
134957,27,1,19,122,2017-11-07 00:20:05,0
54960,15,1,13,265,2017-11-09 02:49:56,0
26573,15,1,13,130,2017-11-08 05:10:46,0
121332,9,1,19,134,2017-11-08 01:06:15,0
79717,12,1,19,178,2017-11-08 02:38:25,0
107164,9,1,17,107,2017-11-09 00:07:12,0
132492,7,1,19,101,2017-11-07 08:42:16,0
123040,18,1,13,107,2017-11-08 14:56:32,0
107809,11,1,37,173,2017-11-09 12:56:30,0
53964,18,1,13,134,2017-11-07 09:13:22,0
25041,3,1,32,280,2017-11-07 12:12:55,0
56166,18,1,14,317,2017-11-07 04:34:05,0
19264,13,1,19,400,2017-11-08 14:22:04,0
193061,15,1,13,315,2017-11-08 06:35:42,0
197093,15,1,15,245,2017-11-07 02:31:51,0
16050,1,1,3,134,2017-11-07 00:01:16,0
67754,12,2,9,326,2017-11-07 14:57:47,0
67439,12,2,9,245,2017-11-09 04:12:11,0
88172,14,1,19,480,2017-11-07 09:04:34,0
73487,3,2,41,153,2017-11-07 09:42:22,0
80827,12,1,3,19,2017-11-09 14:51:01,0
58973,15,1,18,130,2017-11-08 03:15:36,0
249632,1,1,17,124,2017-11-08 15:58:08,0
114878,9,1,13,442,2017-11-07 15:31:43,0
50752,12,2,13,245,2017-11-09 05:22:57,0
39180,18,1,866,107,2017-11-09 14:08:12,0
188345,3,1,18,280,2017-11-07 04:42:21,0
7572,2,1,10,122,2017-11-07 21:38:32,0
17988,15,1,6,245,2017-11-06 23:49:15,0
27793,18,1,19,107,2017-11-08 14:07:50,0
212485,22,1,19,116,2017-11-09 01:30:34,0
315062,3,1,13,280,2017-11-09 07:05:32,0
121209,14,1,13,489,2017-11-07 23:16:20,0
169058,20,1,37,478,2017-11-07 08:47:31,0
79916,26,1,17,477,2017-11-08 22:16:16,0
79827,3,1,8,280,2017-11-07 06:43:06,0
125432,26,1,19,266,2017-11-07 08:47:18,0
17677,2,1,9,469,2017-11-07 01:09:04,0
112617,14,1,22,123,2017-11-07 09:53:25,0
75329,21,1,16,232,2017-11-08 09:06:54,0
236269,27,1,2,153,2017-11-07 23:53:04,0
136279,13,1,19,477,2017-11-07 05:26:57,0
12091,3,1,27,280,2017-11-08 18:58:23,0
181311,7,1,37,101,2017-11-07 03:08:12,0
76727,23,1,19,153,2017-11-09 09:08:59,0
82039,11,1,20,325,2017-11-08 16:19:07,0
48240,2,1,12,237,2017-11-07 13:23:14,0
14877,12,1,19,178,2017-11-08 09:20:16,0
92916,3,1,18,280,2017-11-08 22:19:12,0
119929,12,1,19,245,2017-11-07 12:05:42,0
55047,9,1,26,134,2017-11-07 00:47:21,0
97982,3,1,19,280,2017-11-08 05:58:21,0
50238,15,1,53,265,2017-11-07 14:20:34,0
29489,3,1,9,173,2017-11-07 12:48:36,0
72357,25,1,17,259,2017-11-09 11:46:21,0
117898,15,2,13,245,2017-11-08 23:28:38,0
73516,9,1,13,127,2017-11-09 15:20:26,0
109413,3,1,19,280,2017-11-08 04:40:01,0
47962,12,1,13,265,2017-11-06 21:00:22,0
13076,27,1,13,122,2017-11-09 11:38:38,0
38422,12,1,20,140,2017-11-08 09:08:38,0
36183,14,1,20,401,2017-11-07 21:43:49,0
92890,14,1,19,442,2017-11-07 06:12:35,0
120444,3,1,9,130,2017-11-09 08:11:04,0
67439,12,1,17,326,2017-11-06 16:09:08,0
193097,2,2,3,364,2017-11-07 15:00:49,0
88935,2,1,19,469,2017-11-09 08:56:47,0
53408,2,1,13,258,2017-11-08 04:46:38,0
203084,18,1,13,107,2017-11-09 10:00:09,0
167094,3,1,9,280,2017-11-07 04:24:41,0
119349,12,1,41,259,2017-11-09 12:49:27,0
70677,11,1,13,122,2017-11-07 01:36:04,0
167482,21,1,18,232,2017-11-07 17:11:38,0
85631,3,1,18,205,2017-11-09 07:53:06,0
77840,14,1,19,442,2017-11-09 14:02:53,0
73467,12,1,13,328,2017-11-07 07:57:58,0
122991,64,1,8,459,2017-11-07 09:19:21,0
159834,18,1,4,134,2017-11-09 11:51:38,0
107041,1,1,13,377,2017-11-07 05:41:59,0
12689,3,1,19,135,2017-11-08 08:30:27,0
44527,3,1,19,153,2017-11-08 17:52:03,0
73839,15,1,19,245,2017-11-07 14:06:53,0
90224,13,1,13,477,2017-11-07 00:44:39,0
125295,3,1,13,317,2017-11-08 07:05:37,0
119349,14,1,28,446,2017-11-09 11:03:57,0
171263,12,1,19,328,2017-11-09 12:36:11,0
41203,15,1,19,245,2017-11-08 04:10:33,0
114597,9,1,9,134,2017-11-08 00:08:16,0
65352,15,1,19,278,2017-11-09 12:39:31,0
53715,2,1,47,469,2017-11-09 11:26:57,0
137052,12,2,13,145,2017-11-07 11:25:33,0
99945,9,1,15,445,2017-11-07 04:39:17,0
125551,14,1,13,467,2017-11-06 23:20:45,0
47243,12,1,18,259,2017-11-07 09:20:57,0
6581,3,1,19,280,2017-11-08 11:44:32,0
37506,1,1,20,125,2017-11-07 18:23:54,0
93021,12,1,19,259,2017-11-08 13:45:25,0
67944,23,1,19,153,2017-11-08 23:36:46,0
185236,12,1,13,178,2017-11-08 11:33:54,0
69775,3,1,15,424,2017-11-08 05:58:40,0
94778,3,1,13,280,2017-11-07 07:41:14,0
76855,2,1,19,401,2017-11-08 12:26:22,0
32335,15,1,32,140,2017-11-07 19:12:35,0
96224,9,1,19,215,2017-11-09 05:01:08,0
358741,10,1,19,377,2017-11-09 08:33:04,0
13974,26,1,13,121,2017-11-09 03:20:13,0
70956,15,1,13,430,2017-11-07 08:42:09,0
80743,12,1,19,328,2017-11-08 08:45:21,0
110589,25,1,13,259,2017-11-08 13:57:23,0
128210,6,1,13,125,2017-11-09 01:46:09,0
214842,27,1,10,153,2017-11-08 00:12:55,0
119798,15,1,25,245,2017-11-08 16:59:07,0
84587,3,1,17,280,2017-11-07 12:10:35,0
163326,3,1,37,280,2017-11-07 03:18:15,0
5348,2,1,15,219,2017-11-07 11:12:53,0
1471,26,1,25,266,2017-11-07 10:41:25,0
92766,18,1,13,107,2017-11-07 09:26:38,0
35703,18,1,1,107,2017-11-07 05:42:18,0
352095,15,1,37,379,2017-11-08 18:56:01,0
74617,25,1,12,259,2017-11-07 06:03:41,0
40631,14,1,19,349,2017-11-09 00:22:26,0
75786,2,1,19,205,2017-11-07 09:25:10,0
30203,13,1,19,477,2017-11-07 03:22:34,0
12506,32,1,41,376,2017-11-08 14:17:28,0
88923,14,1,35,480,2017-11-08 04:05:18,0
18589,26,1,19,121,2017-11-06 23:12:07,0
60045,11,1,1,122,2017-11-07 03:37:08,0
94906,12,1,41,259,2017-11-08 14:01:07,0
221041,2,1,37,435,2017-11-07 16:59:23,0
114276,12,1,14,178,2017-11-09 13:03:12,0
78881,18,1,20,134,2017-11-07 14:34:42,0
220427,9,1,22,466,2017-11-08 04:43:48,0
5178,9,2,78,244,2017-11-09 10:53:33,0
85482,9,1,41,232,2017-11-09 06:29:53,0
86767,13,1,8,469,2017-11-08 02:23:22,0
112302,14,1,19,371,2017-11-09 08:53:03,0
114220,15,1,19,278,2017-11-08 10:02:28,0
124540,2,2,9,477,2017-11-07 11:59:43,0
63262,9,1,19,232,2017-11-09 03:58:07,0
30647,3,1,8,173,2017-11-08 06:58:43,0
116272,2,1,19,469,2017-11-07 03:53:55,0
5348,14,1,47,379,2017-11-07 13:23:40,0
271020,15,1,19,315,2017-11-09 08:03:03,0
68900,9,1,10,466,2017-11-09 05:28:03,0
81550,12,1,13,178,2017-11-07 17:17:47,0
114965,12,1,19,409,2017-11-07 13:34:16,0
40440,9,1,19,232,2017-11-09 11:16:48,0
48490,3,1,13,211,2017-11-09 05:44:24,0
8179,12,1,41,245,2017-11-08 16:50:51,0
145934,12,1,28,178,2017-11-07 09:00:00,0
92673,26,1,13,266,2017-11-09 10:36:03,0
69691,12,1,13,19,2017-11-08 09:05:10,0
4062,2,2,13,237,2017-11-09 01:35:39,0
105433,2,1,31,205,2017-11-08 13:58:13,0
45870,15,1,13,245,2017-11-08 17:24:54,0
62955,15,1,17,315,2017-11-09 07:20:50,0
100393,14,1,2,439,2017-11-09 14:50:32,0
85644,24,2,19,105,2017-11-06 16:06:36,0
39135,1,1,6,153,2017-11-07 10:24:50,0
3363,3,1,18,280,2017-11-07 06:44:23,0
114904,2,1,19,205,2017-11-08 07:57:47,0
64325,14,1,13,480,2017-11-09 00:54:18,0
77314,43,1,18,330,2017-11-09 10:41:35,0
5314,3,1,47,280,2017-11-08 13:33:18,0
202529,9,1,13,466,2017-11-08 15:17:14,0
46371,24,2,30,105,2017-11-08 23:52:25,0
116344,9,1,13,107,2017-11-09 00:24:39,0
184489,13,1,19,477,2017-11-06 23:27:55,0
18439,18,1,19,107,2017-11-08 15:51:34,0
55100,3,1,14,135,2017-11-07 08:16:45,0
69973,18,1,13,107,2017-11-08 23:38:26,0
123994,9,1,19,244,2017-11-07 14:41:17,0
67530,3,1,49,211,2017-11-08 10:24:05,0
92735,12,2,36,326,2017-11-08 02:51:49,0
137052,3,1,1,442,2017-11-07 01:28:01,0
105475,3,1,19,409,2017-11-07 13:39:47,0
110476,14,1,19,442,2017-11-08 05:54:29,0
114276,18,1,17,107,2017-11-08 11:42:03,0
70532,9,1,13,258,2017-11-08 15:15:47,0
5222,3,1,18,280,2017-11-08 11:40:13,0
113326,2,1,25,219,2017-11-07 01:31:38,0
159671,12,1,19,178,2017-11-08 02:53:28,0
106723,2,1,8,477,2017-11-06 17:17:46,0
208468,21,1,19,128,2017-11-08 08:16:20,0
42289,3,2,49,130,2017-11-08 13:16:42,0
35188,3,1,13,205,2017-11-09 12:52:29,0
41691,12,1,17,409,2017-11-09 05:26:05,0
48212,3,1,22,137,2017-11-09 12:00:40,0
